"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/16 9:34:01 PM UTC+2","Femme","30-39 ans","DEUG, BTS, DUT, DEUST","Non","","4","Oui","Déprime/baisse de morale","6","2","6","2","3","2","7","2 ans (Pas avant 2023)","Souvent","Souvent","Systématiquement","Souvent","Systématiquement","Souvent","Souvent","Ça dépend des situations","Souvent","Systématiquement","2","10","Non","Non","Non","1","Oui","Oui","2","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Faible confiance"
"2021/03/17 9:17:10 AM UTC+2","Homme","30-39 ans","Master 2","Non","","8","Non","","10","7","10","6","8","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","5","10","Non","Non","Non","5","Oui","Non","3","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/17 9:24:46 AM UTC+2","Femme","56- 65 ans","Master 2","Non","","3","Oui","Déprime/baisse de morale","7","4","5","4","8","5","4","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Non","Oui","7","Non","Oui","10","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/17 9:26:41 AM UTC+2","Femme","20-29 ans","Master 2","Non","","6","Oui","Stress;Déprime/baisse de morale;Baisse de productivité","9","4","5","6","8","4","9","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","Rarement","Rarement","Jamais","Systématiquement","Souvent","10","10","Non","Non","Oui","0","Non","Non","10","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/17 9:46:27 AM UTC+2","Homme","20-29 ans","DEUG, BTS, DUT, DEUST","Non","","5","Oui","Anxiété","5","3","5","3","5","7","7","6 mois (Septembre 2021)","Systématiquement","Souvent","Systématiquement","Souvent","Jamais","Rarement","Ça dépend des situations","Souvent","Souvent","Systématiquement","10","10","Non","Non","Oui","1","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/17 9:54:04 AM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Oui","1","8","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","7","6","2","4","4","5","6","1 an (Pas avant 2022)","Souvent","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Souvent","Souvent","Souvent","Souvent","7","10","Oui","Oui","Non","3","Non","Oui","6","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/17 9:57:32 AM UTC+2","Femme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","9","Oui","Déprime/baisse de morale","7","2","8","1","5","0","9","Elle va menacer pendant longtemps","Souvent","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Souvent","Rarement","Ça dépend des situations","Systématiquement","Systématiquement","0","1","Non","Non","Non","9","Oui","Oui","1","Aucune confiance","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/17 10:27:31 AM UTC+2","Femme","40-55 ans","CAP, BEP","Non","","1","Non","Peu de changement pour moi","3","3","8","3","3","8","10","Elle va menacer pendant longtemps","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","0","0","Non","Non","Non","8","Oui","Oui","10","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/17 11:14:44 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui, mes parents ","3","9","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité;Maux de têtes ","9","5","3","3","5","5","6","6 mois (Septembre 2021)","Ça dépend des situations","Systématiquement","Souvent","Souvent","Souvent","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","7","9","Non","Oui","Non","6","Oui","Oui","3","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/17 11:17:01 AM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Je vis avec ma sœur et nous ne l’avons pas eu. Avons été une fois cas contact. ","","0","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","10","7","4","10","10","6","10","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","0","Oui","Non","10","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/17 11:58:45 AM UTC+2","Femme","20-29 ans","Master 2","Non","","8","Oui","Anxiété;Stress;Déprime/baisse de morale","7","5","5","5","9","3","9","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Ça dépend des situations","Systématiquement","Ça dépend des situations","Systématiquement","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","2","Oui","Non","10","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Confiance absolue","Faible confiance"
"2021/03/17 12:08:11 PM UTC+2","Femme","20-29 ans","Master 2","non","","6","Oui","Déprime/baisse de morale","8","3","8","4","10","6","8","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","10","10","Non","Oui","Non","0","Oui","Oui","3","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/17 12:08:17 PM UTC+2","Femme","20-29 ans","Master 2","Non","","6","Oui","Anxiété;Stress;Déprime/baisse de morale","8","7","6","6","10","9","8","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Oui","Oui","1","Non","Non","10","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée"
"2021/03/17 12:26:10 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","0","2","0","5","3","5","1 an (Pas avant 2022)","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","0","Oui","Oui","Non","8","Non","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/17 12:50:42 PM UTC+2","Homme","56- 65 ans","Master 2","non","","7","Oui","Anxiété;Déprime/baisse de morale","7","5","4","4","7","8","8","6 mois (Septembre 2021)","Rarement","Systématiquement","Souvent","Souvent","Rarement","Rarement","Rarement","Rarement","Jamais","Systématiquement","9","9","Non","Non","Oui","1","Oui","Oui","5","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/17 1:24:22 PM UTC+2","Homme","20-29 ans","Master 2","oui","5","8","Oui","Anxiété;Stress","9","6","7","6","3","2","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Souvent","Ça dépend des situations","Jamais","Jamais","Rarement","Rarement","Souvent","Systématiquement","0","0","Non","Non","Non","10","Oui","Non","0","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance absolue","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée"
"2021/03/17 1:51:35 PM UTC+2","Homme","20-29 ans","DEUG, BTS, DUT, DEUST","Moi même ","5","5","Oui","Déprime/baisse de morale;Baisse de productivité","7","2","7","0","5","3","9","2 ans (Pas avant 2023)","Jamais","Souvent","Systématiquement","Souvent","Ça dépend des situations","Souvent","Rarement","Jamais","Systématiquement","Souvent","0","0","Non","Non","Non","7","Oui","Non","0","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/17 1:58:12 PM UTC+2","Femme","20-29 ans","Master 2","Non","","8","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","8","5","4","6","5","5","6","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Rarement","Souvent","Rarement","Souvent","Souvent","Souvent","Systématiquement","3","5","Non","Oui","Non","7","Oui","Oui","1","Faible confiance","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/17 2:08:15 PM UTC+2","Femme","30-39 ans","Master 2","Oui","2","2","Oui","Déprime/baisse de morale;Hausse de productivité ","4","2","8","2","8","2","7","Elle va menacer pendant longtemps","Souvent","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Souvent","Systématiquement","7","8","Oui","Oui","Non","5","Oui","Non","7","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/17 2:29:19 PM UTC+2","Femme","15-19 ans","Licence, Licence professionnelle","Non ","","7","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","4","4","5","5","4","5","1 an (Pas avant 2022)","Souvent","Souvent","Systématiquement","Rarement","Rarement","Jamais","Rarement","Systématiquement","Souvent","Souvent","10","10","Non","Oui","Non","3","Oui","Non","9","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance"
"2021/03/17 2:32:52 PM UTC+2","Homme","30-39 ans","Je ne souhaite pas répondre","Compagne","1","6","Non","Anxiété;Stress","7","3","2","2","3","2","3","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Ça dépend des situations","Ça dépend des situations","Rarement","Systématiquement","Systématiquement","Systématiquement","6","5","Non","Oui","Non","5","Oui","Oui","2","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée"
"2021/03/17 2:34:18 PM UTC+2","Femme","20-29 ans","Master 2","Oui ma mère ","2","8","Oui","Stress;Déprime/baisse de morale","10","6","4","4","6","3","9","2 ans (Pas avant 2023)","Souvent","Systématiquement","Systématiquement","Rarement","Rarement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","8","10","Non","Non","Non","4","Oui","Oui","5","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
